user_id,product_name
1001,Notebook
1001,Controle Xbox
1001,Roteador Wi-Fi
1001,Caixa de Som
1002,Webcam HD
1002,Controle Xbox
1002,Cadeira Gamer
1002,Nobreak
1002,Cabo Lightning
1002,Teclado Mecânico
1003,Fone de Ouvido
1003,Notebook
1003,Teclado Mecânico
1003,Tablet
1003,Smartwatch
1003,Carregador Veicular
1003,Memória RAM
1003,Controle Xbox
1003,Teclado Bluetooth
1004,Óculos VR
1004,Estabilizador
1004,Volante Gamer
1004,Cabo Lightning
1004,SSD 500GB
1004,Smartwatch
1005,Placa de Vídeo
1005,Roteador Wi-Fi
1005,Smartphone
1005,Pen Drive 64GB
1005,Volante Gamer
1005,Scanner
1005,Hub USB
1005,Controle Xbox
1005,HD Externo
1005,Tablet
1006,Cadeira Gamer
1006,Teclado Mecânico
1006,Ring Light
1006,Mousepad Gamer
1006,Adaptador HDMI
1006,Volante Gamer
1006,Memória RAM
1006,Impressora
1007,Controle PS5
1007,Base Refrigerada
1007,Cabo Lightning
1008,Ring Light
1008,Teclado Mecânico
1008,Teclado Bluetooth
1008,Gamepad
1009,Switch HDMI
1009,Controle Bluetooth
1009,Óculos VR
1009,Mouse Sem Fio
1009,Fone de Ouvido
1009,Filtro de Linha
1009,Smartwatch
1009,Gamepad
1010,Smartwatch
1010,Cadeira Gamer
1010,Ring Light
1010,Roteador Wi-Fi
1011,Case HD
1011,Microfone
1011,Pen Drive 64GB
1011,Controle Xbox
1011,Adaptador HDMI
1011,Tablet
1011,Filtro de Linha
1011,Roteador Wi-Fi
1011,Mouse Sem Fio
1011,Memória RAM
1012,Cabo Lightning
1012,Controle PS5
1012,Caixa de Som
1012,Pen Drive 64GB
1012,Base Refrigerada
1013,Roteador Wi-Fi
1013,Case HD
1013,Volante Gamer
1013,Teclado Bluetooth
1013,Smartwatch
1013,Nobreak
1013,Cooler
1013,Carregador
1013,Controle PS5
1014,Cooler
1014,Power Bank
1014,Roteador Wi-Fi
1015,Tablet
1015,Switch HDMI
1015,Óculos VR
1015,Cooler
1016,Estabilizador
1016,Fire TV Stick
1016,Power Bank
1016,Mousepad Gamer
1016,Base Refrigerada
1016,HD Externo
1017,Webcam HD
1017,Caixa de Som
1017,Teclado Bluetooth
1017,Cabo Lightning
1017,Impressora
1017,Placa de Vídeo
1017,Scanner
1018,Microfone
1018,Smartwatch
1018,Webcam HD
1018,Carregador Veicular
1018,Fire TV Stick
1018,Teclado Mecânico
1018,Carregador
1018,"Monitor 24"""
1018,HD Externo
1019,Nobreak
1019,Scanner
1019,Memória RAM
1019,Mouse Sem Fio
1019,Ring Light
1020,Memória RAM
1020,Base Refrigerada
1020,Cabo USB-C
1020,Impressora
1020,Teclado Bluetooth
1020,Smartphone
1020,"Monitor 24"""
1020,Cabo Lightning
1020,Roteador Wi-Fi
1021,"Monitor 24"""
1021,Gamepad
1021,Scanner
1021,Pen Drive 64GB
1021,Base Refrigerada
1021,Smartphone
1021,Impressora
1021,Carregador Veicular
1022,Carregador Veicular
1022,Cadeira Gamer
1022,Case HD
1022,Lâmpada Inteligente
1022,Memória RAM
1023,HD Externo
1023,Microfone
1023,Pen Drive 64GB
1023,Cabo Lightning
1023,Cabo USB-C
1023,Smartphone
1024,Fire TV Stick
1024,Notebook
1024,"Monitor 24"""
1024,Microfone
1024,Lâmpada Inteligente
1024,Caixa de Som
1024,Carregador
1024,Nobreak
1025,Teclado Mecânico
1025,Controle PS5
1025,Fire TV Stick
1025,Mouse Sem Fio
1026,Webcam HD
1026,Filtro de Linha
1026,Echo Dot
1026,Teclado Bluetooth
1026,Pen Drive 64GB
1027,Cabo USB-C
1027,Memória RAM
1027,Scanner
1027,Tablet
1027,Cabo Lightning
1027,Controle Bluetooth
1027,Lâmpada Inteligente
1028,Filtro de Linha
1028,Estabilizador
1028,Microfone
1028,Notebook Stand
1028,Cabo USB-C
1028,Óculos VR
1028,"Monitor 24"""
1028,Caixa de Som
1028,Smartwatch
1029,Hub USB
1029,Notebook
1029,Placa de Vídeo
1029,Teclado Bluetooth
1030,Placa de Vídeo
1030,Smartwatch
1030,Smartphone
1030,Mouse Sem Fio
1030,Case HD
1030,Carregador
1031,Mouse Sem Fio
1031,Fone de Ouvido
1031,Hub USB
1031,Mousepad Gamer
1031,Carregador Veicular
1031,Caixa de Som
1032,Filtro de Linha
1032,Fire TV Stick
1032,Tablet
1032,Cabo Lightning
1032,Webcam HD
1032,Switch HDMI
1032,Nobreak
1033,Caixa de Som
1033,Echo Dot
1033,SSD 500GB
1033,Controle Bluetooth
1033,Cadeira Gamer
1033,Volante Gamer
1033,Filtro de Linha
1033,Scanner
1033,Adaptador HDMI
1033,Estabilizador
1034,Base Refrigerada
1034,Controle PS5
1034,Carregador
1034,Nobreak
1034,Estabilizador
1034,Volante Gamer
1034,Cadeira Gamer
1034,Controle Xbox
1034,Power Bank
1035,Cadeira Gamer
1035,Caixa de Som
1035,Controle Bluetooth
1035,Controle PS5
1035,Cabo Lightning
1035,Notebook Stand
1035,Webcam HD
1035,Scanner
1036,Roteador Wi-Fi
1036,Base Refrigerada
1036,Caixa de Som
1036,Mouse Sem Fio
1036,Notebook Stand
1037,Carregador
1037,Estabilizador
1037,Cabo Lightning
1037,Smartphone
1038,Mousepad Gamer
1038,Caixa de Som
1038,Pen Drive 64GB
1038,SSD 500GB
1039,Echo Dot
1039,Tablet
1039,Power Bank
1039,Carregador
1039,Pen Drive 64GB
1039,Ring Light
1039,Smartphone
1039,Nobreak
1039,Impressora
1039,Base Refrigerada
1040,Scanner
1040,Volante Gamer
1040,Controle PS5
1040,Teclado Bluetooth
1040,Filtro de Linha
1040,Fire TV Stick
1040,HD Externo
1041,Gamepad
1041,Tablet
